# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		3080		2289		1559
1		2427		4478		1712
2		2154		6606		1751
3		2031		8731		1741
4		1955		10768		1767
5		1895		12830		1760
6		1862		14878		1771
7		1831		16925		1768
8		1812		18963		1765
9		1791		21025		1761
10		1770		23068		1770
11		1761		25125		1779
12		1754		27169		1760
13		1725		29199		1763
14		1735		31229		1764
15		1726		33294		1764
16		1712		35330		1768
17		1699		37390		1763
18		1684		39425		1749
19		1676		41479		1760
20		1687		43525		1778
21		1691		45576		1772
22		1657		47582		1767
23		1643		49640		1768
24		1656		51677		1753
25		1643		53719		1752
26		1634		55751		1755
27		1645		57808		1735
28		1639		59842		1746
29		1629		61857		1772
30		1625		63873		1770
31		1616		65896		1769
32		1616		67932		1773
33		1613		69984		1774
34		1625		72010		1776
35		1618		74081		1767
36		1599		76113		1767
37		1619		78143		1769
38		1598		80166		1770
39		1590		82219		1770
40		1581		84216		1772
41		1596		86270		1766
42		1602		88297		1767
43		1598		90338		1768
44		1601		92389		1758
45		1601		94399		1762
46		1605		96431		1755
47		1593		98452		1772
48		1601		100465		1769
49		1601		102460		1785
50		1611		104481		1781
51		1603		106539		1788
52		1591		108573		1784
53		1584		110580		1783
54		1605		112590		1783
55		1601		114611		1783
56		1596		116622		1780
57		1582		118637		1784
58		1577		120681		1768
59		1585		122682		1775
60		1592		124713		1791
61		1578		126753		1783
62		1577		128807		1780
63		1570		130836		1793
64		1582		132869		1790
65		1575		134885		1791
66		1581		136900		1788
67		1571		138946		1786
68		1590		140962		1782
69		1599		142975		1795
70		1599		144994		1781
71		1583		147013		1779
72		1586		149076		1788
73		1586		151117		1778
74		1568		153150		1789
75		1570		155169		1782
76		1571		157166		1782
77		1562		159215		1790
78		1574		161211		1792
79		1581		163236		1791
80		1585		165266		1788
81		1582		167304		1786
82		1582		169346		1780
83		1567		171364		1780
84		1572		173392		1781
85		1599		175381		1771
86		1582		177418		1781
87		1587		179444		1776
88		1580		181445		1761
89		1588		183467		1750
90		1589		185472		1764
91		1603		187492		1755
92		1596		189510		1769
93		1595		191550		1779
94		1586		193573		1768
95		1581		195600		1759
96		1581		197613		1771
97		1574		199611		1754
98		1574		201645		1758
99		1583		203669		1769
100		1580		205693		1774
101		1575		207707		1762
102		1576		209748		1769
103		1580		211785		1767
104		1578		213802		1773
105		1575		215828		1770
106		1592		217812		1771
107		1589		219795		1776
108		1580		221813		1782
109		1586		223816		1775
110		1589		225872		1784
111		1582		227890		1761
112		1584		229914		1767
113		1598		231921		1772
114		1605		233978		1774
115		1580		235994		1773
116		1589		238003		1768
117		1579		240041		1771
118		1594		242048		1784
119		1588		244058		1794
120		1582		246081		1784
121		1586		248129		1771
122		1574		250151		1782
123		1575		252180		1762
124		1590		254203		1782
125		1590		256237		1785
126		1581		258270		1781
127		1589		260319		1787
128		1588		262326		1777
129		1579		264337		1774
130		1572		266356		1777
131		1572		268387		1777
132		1571		270413		1765
133		1568		272436		1771
134		1568		274416		1784
135		1571		276429		1779
136		1574		278437		1788
137		1581		280450		1787
138		1571		282482		1787
139		1576		284517		1782
140		1576		286539		1786
141		1578		288544		1781
142		1576		290583		1785
143		1570		292613		1779
144		1573		294619		1777
145		1578		296626		1775
146		1573		298627		1785
147		1571		300662		1790
148		1566		302649		1792
